EQP_TYPE,RECIPE_PREV,RECIPE_ID,TIME
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,7.75
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,ZFRlVUJ2RVJWVndNUVM1VnZrTGQ2SFcyazBrcDR1VDQ5QkFha2o1SXM5TT0=,3.8
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,aUVWYUpBZE10Nzg3aDdXTFFoNDlOQ0hwanZKRWxpRk8wOVYyME1FY01PND0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,aUVWYUpBZE10Nzg3aDdXTFFoNDlOQ0hwanZKRWxpRk8wOVYyME1FY01PND0=,ZTh1YVFCcStaRVVXTVY1Ti9PY2hxNmFOK0dFYitVOS9zVWtVdU4yOHNmYz0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,ZTh1YVFCcStaRVVXTVY1Ti9PY2hxNmFOK0dFYitVOS9zVWtVdU4yOHNmYz0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,ZFRlVUJ2RVJWVndNUVM1VnZrTGQ2SFcyazBrcDR1VDQ5QkFha2o1SXM5TT0=,3.8
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,ZFRlVUJ2RVJWVndNUVM1VnZrTGQ2SFcyazBrcDR1VDQ5QkFha2o1SXM5TT0=,SkpXSXBsS1pZWFBZeUQ3Z2FUU3lrQ1dCYXlob2VJZVdETGdSQ0srMEJoOD0=,6.66
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SkpXSXBsS1pZWFBZeUQ3Z2FUU3lrQ1dCYXlob2VJZVdETGdSQ0srMEJoOD0=,aDRZbndHRjVNY3c4Szk4alVTOW44cTFOUGFGZU1xbmp5NjdXU3E2anhmZz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,aDRZbndHRjVNY3c4Szk4alVTOW44cTFOUGFGZU1xbmp5NjdXU3E2anhmZz0=,UzJIMVlnUjAvSmkzL25LaGhRREZDZktQaGNiYUZ4bjBzamZJSlBsdlI1Zz0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,UzJIMVlnUjAvSmkzL25LaGhRREZDZktQaGNiYUZ4bjBzamZJSlBsdlI1Zz0=,ZkR3S3dob1B3akpYaTJzN2dWcGNVYnJKQWJBcjdjOTI3Y1cwSlZNY09EST0=,5.15
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,ZkR3S3dob1B3akpYaTJzN2dWcGNVYnJKQWJBcjdjOTI3Y1cwSlZNY09EST0=,ZkR3S3dob1B3akpYaTJzN2dWcGNVYnJKQWJBcjdjOTI3Y1cwSlZNY09EST0=,4.03
